Date,Quarters
01-07-1996,Q3
01-10-1996,Q4
01-01-1997,Q1
01-04-1997,Q2
01-07-1997,Q3
01-10-1997,Q4
01-01-1998,Q1
01-04-1998,Q2
01-07-1998,Q3
01-10-1998,Q4
01-01-1999,Q1
01-04-1999,Q2
01-07-1999,Q3
01-10-1999,Q4
01-01-2000,Q1
01-04-2000,Q2
01-07-2000,Q3
01-10-2000,Q4
01-01-2001,Q1
01-04-2001,Q2
01-07-2001,Q3
01-10-2001,Q4
01-01-2002,Q1
01-04-2002,Q2
01-07-2002,Q3
01-10-2002,Q4
01-01-2003,Q1
01-04-2003,Q2
01-07-2003,Q3
01-10-2003,Q4
01-01-2004,Q1
01-04-2004,Q2
01-07-2004,Q3
01-10-2004,Q4
01-01-2005,Q1
01-04-2005,Q2
01-07-2005,Q3
01-10-2005,Q4
01-01-2006,Q1
01-04-2006,Q2
01-07-2006,Q3
